Date,Open,High,Low,Close,Volume,rsi,adx_pos,adx_neg,macd,gdp_indicator
3/6/2008,1332.199951,1332.199951,1303.420044,1304.339966,4323460000,36.23800833,18.04179187,32.41803281,-2.931884582,#N/A
3/7/2008,1301.530029,1313.23999,1282.430054,1293.369995,4565410000,34.14112514,16.52174151,35.42660012,-4.644597452,#N/A
3/10/2008,1293.160034,1295.01001,1272.660034,1273.369995,4261240000,30.65804414,15.50145597,35.93836769,-6.65738991,#N/A
3/11/2008,1274.400024,1320.650024,1274.400024,1320.650024,5109080000,44.95480319,20.27804179,31.50592159,-4.443924703,#N/A
3/12/2008,1321.130005,1333.26001,1307.859985,1308.77002,4414280000,42.57925868,22.23400184,29.40753808,-3.462883143,#N/A
3/13/2008,1305.26001,1321.680054,1282.109985,1315.47998,5073360000,44.36741056,19.99927577,32.99239671,-2.111467866,#N/A
3/14/2008,1316.050049,1321.469971,1274.859985,1288.140015,5153780000,39.03360771,17.73774771,31.02052276,-2.766927259,#N/A
3/17/2008,1283.209961,1287.5,1256.97998,1276.599976,5683010000,37.01106167,16.40238753,33.00504828,-3.631275748,#N/A
3/18/2008,1277.160034,1330.73999,1277.160034,1330.73999,5335630000,50.07975587,24.23852443,28.92982933,-0.381417302,#N/A
3/19/2008,1330.969971,1341.51001,1298.420044,1298.420044,5358550000,44.18603116,24.3108507,26.16116608,-0.240019997,#N/A
3/20/2008,1299.670044,1330.670044,1295.219971,1329.51001,6145220000,50.25122061,22.41063017,24.82189907,1.992861313,#N/A
3/24/2008,1330.290039,1359.680054,1330.290039,1349.880005,4499000000,53.79408405,27.3404145,23.16256444,4.73092733,#N/A
3/25/2008,1349.069946,1357.469971,1341.209961,1352.98999,4145120000,54.32885278,26.3192357,22.29743053,6.529823148,#N/A
3/26/2008,1352.449951,1352.449951,1336.410034,1341.130005,4055670000,51.86370774,25.28228004,22.55954315,6.675532843,4
3/27/2008,1340.339966,1345.619995,1325.660034,1325.76001,4037930000,48.77495544,24.05362909,24.08055544,5.538203648,#N/A
3/28/2008,1327.02002,1334.869995,1312.949951,1315.219971,3686980000,46.72012182,22.74628708,25.92323733,3.951925035,#N/A
3/31/2008,1315.920044,1328.52002,1312.810059,1322.699951,4188990000,48.38209155,21.83050781,24.915403,3.308397282,#N/A
4/1/2008,1326.410034,1370.180054,1326.410034,1370.180054,4745120000,57.4542726,29.46685326,22.02876883,5.834676128,#N/A
4/2/2008,1369.959961,1377.949951,1361.550049,1367.530029,4320440000,56.85366246,30.20685042,21.11863758,7.002810634,#N/A
4/3/2008,1365.689941,1375.660034,1358.680054,1369.310059,3920100000,57.17748306,28.87657933,20.93295232,7.525205894,#N/A
4/4/2008,1369.849976,1380.910034,1362.829956,1370.400024,3703100000,57.38837455,28.8843143,19.92667575,7.554289777,#N/A
4/7/2008,1373.689941,1386.73999,1369.02002,1372.540039,3747780000,57.82751617,29.07824733,18.96445519,7.322444929,#N/A
4/8/2008,1370.160034,1370.160034,1360.619995,1365.540039,3602500000,55.8017456,28.09542521,20.70529385,6.339224982,#N/A
4/9/2008,1365.5,1368.390015,1349.969971,1354.48999,3556670000,52.66534523,26.59927894,22.681609,4.663686664,#N/A
4/10/2008,1355.369995,1367.23999,1350.109985,1360.550049,3686150000,54.18616472,25.25250585,21.53319514,3.723348688,#N/A
4/11/2008,1357.97998,1357.97998,1331.209961,1332.829956,3723790000,46.78194541,23.09554896,25.19614509,1.128857506,#N/A
4/14/2008,1332.199951,1335.640015,1326.160034,1328.319946,3565020000,45.68808648,22.4289321,26.00643505,-0.887776965,#N/A
4/15/2008,1331.719971,1337.719971,1324.349976,1334.430054,3581230000,47.47978758,22.1403239,24.91423052,-1.756732241,#N/A
4/16/2008,1337.02002,1365.48999,1337.02002,1364.709961,4260370000,55.34223597,28.53609521,22.54539455,-0.314328254,#N/A
4/17/2008,1363.369995,1368.599976,1357.25,1365.560059,3713880000,55.54345359,28.4951486,21.73224369,0.623752465,#N/A
4/18/2008,1369,1395.900024,1369,1390.329956,4222380000,61.05041409,34.27861134,19.68805517,2.721641472,#N/A
4/21/2008,1387.719971,1390.22998,1379.25,1388.170044,3420570000,60.34841162,33.0557668,18.98570961,3.711700332,#N/A
4/22/2008,1386.430054,1386.430054,1369.839966,1375.939941,3821900000,56.39417229,31.08040924,20.91894339,3.304376452,#N/A
4/23/2008,1378.400024,1387.869995,1372.23999,1379.930054,4103610000,57.37546035,29.9428328,19.83072383,3.070157611,#N/A
4/24/2008,1380.52002,1397.719971,1371.089966,1388.819946,4461660000,59.55904226,30.55672004,18.10281903,3.262410812,#N/A
4/25/2008,1387.880005,1399.109985,1379.97998,1397.839966,3891150000,61.70278483,29.08589995,16.95961005,3.7127589,#N/A
4/28/2008,1397.959961,1402.900024,1394.400024,1396.369995,3607000000,61.13403647,29.54062486,16.46215413,3.623359075,#N/A
4/29/2008,1395.609985,1397,1386.699951,1390.939941,3815320000,58.97162367,28.45156936,18.6112968,2.939360585,#N/A
4/30/2008,1391.219971,1404.569946,1384.25,1385.589966,4508890000,56.83843152,29.09092145,17.25945645,1.916946506,3
5/1/2008,1385.969971,1410.069946,1383.069946,1409.339966,4448780000,63.20208596,28.26986337,15.63444261,2.588740075,#N/A
5/2/2008,1409.160034,1422.719971,1406.25,1413.900024,3953030000,64.29072011,31.09702644,14.72376912,3.056656157,#N/A
5/5/2008,1415.339966,1415.339966,1404.369995,1407.48999,3410090000,61.53487574,29.84987241,14.82058197,2.665204415,#N/A
5/6/2008,1405.599976,1421.569946,1397.099976,1418.26001,3924100000,64.30355231,27.22679879,16.12899445,2.845954468,#N/A
5/7/2008,1417.48999,1419.540039,1391.160034,1392.569946,4075860000,54.26915066,24.53402147,16.6038244,1.042590479,#N/A
5/8/2008,1394.290039,1402.349976,1389.390015,1397.680054,3827550000,55.74837906,23.39607265,16.46717116,0.053376244,#N/A
